iter	Passed	Remaining
0	142	28338
1	144	14309
2	146	9638
3	148	7270
4	150	5854
5	152	4921
6	154	4253
7	156	3750
8	157	3348
9	159	3029
10	161	2767
11	162	2549
12	164	2363
13	166	2206
14	167	2069
15	169	1947
16	170	1839
17	172	1743
18	173	1657
19	175	1579
20	176	1508
21	178	1444
22	179	1378
23	179	1317
24	180	1261
25	180	1209
26	181	1161
27	181	1117
28	182	1076
29	183	1038
30	183	1002
31	184	968
32	184	936
33	185	905
34	186	877
35	186	851
36	187	825
37	188	801
38	188	778
39	189	756
40	189	736
41	190	716
42	190	697
43	191	679
44	192	661
45	192	644
46	193	628
47	193	613
48	194	598
49	194	584
50	195	570
51	195	557
52	196	545
53	197	533
54	197	521
55	198	509
56	198	498
57	199	488
58	199	477
59	200	467
60	201	458
61	201	448
62	202	439
63	202	430
64	203	422
65	203	414
66	204	406
67	205	398
68	205	390
69	206	382
70	206	375
71	207	368
72	207	361
73	208	354
74	208	347
75	209	341
76	209	335
77	210	329
78	211	323
79	211	317
80	211	311
81	212	305
82	213	300
83	213	294
84	213	289
85	214	284
86	214	279
87	215	274
88	215	269
89	216	264
90	216	259
91	217	255
92	217	250
93	218	246
94	218	241
95	219	237
96	219	233
97	220	229
98	220	225
99	221	221
100	221	217
101	222	213
102	222	209
103	223	206
104	224	202
105	224	199
106	225	195
107	225	192
108	226	189
109	226	185
110	227	182
111	228	179
112	228	175
113	229	172
114	229	169
115	230	166
116	230	163
117	231	160
118	231	157
119	232	154
120	232	152
121	233	149
122	233	146
123	234	143
124	235	141
125	235	138
126	236	135
127	236	133
128	237	130
129	237	127
130	238	125
131	238	122
132	239	120
133	239	118
134	240	115
135	240	113
136	241	111
137	242	108
138	242	106
139	243	104
140	243	101
141	244	99
142	244	97
143	245	95
144	245	93
145	246	91
146	246	89
147	247	86
148	247	84
149	248	82
150	248	80
151	249	78
152	249	76
153	250	74
154	250	72
155	251	70
156	251	69
157	252	67
158	253	65
159	253	63
160	254	61
161	254	59
162	255	57
163	255	56
164	256	54
165	256	52
166	257	50
167	257	49
168	258	47
169	258	45
170	259	43
171	259	42
172	260	40
173	260	38
174	261	37
175	262	35
176	262	34
177	263	32
178	263	30
179	264	29
180	264	27
181	265	26
182	265	24
183	266	23
184	266	21
185	267	20
186	267	18
187	268	17
188	268	15
189	269	14
190	269	12
191	270	11
192	271	9
193	271	8
194	272	6
195	272	5
196	273	4
197	273	2
198	274	1
199	274	0
