iter	Passed	Remaining
0	1	1133
1	1	884
2	2	787
3	2	740
4	3	727
5	4	719
6	4	707
7	5	735
8	6	721
9	7	719
10	7	717
11	9	757
12	9	753
13	11	791
14	11	779
15	12	768
16	13	757
17	13	745
18	14	733
19	14	722
20	15	713
21	15	705
22	16	697
23	16	690
24	17	684
25	18	677
26	18	672
27	19	665
28	19	661
29	20	656
30	20	651
31	21	649
32	22	660
33	23	661
34	23	660
35	24	659
36	25	656
37	25	654
38	26	650
39	26	647
40	27	644
41	28	650
42	29	647
43	29	644
44	30	641
45	30	638
46	31	636
47	31	634
48	32	631
49	33	630
50	33	627
51	34	625
52	34	622
53	35	620
54	36	618
55	36	617
56	37	618
57	38	630
58	39	630
59	40	631
60	41	631
61	41	631
62	42	632
63	43	631
64	43	630
65	44	633
66	45	632
67	46	630
68	46	629
69	47	628
70	47	626
71	48	626
72	49	625
73	49	624
74	50	623
75	51	621
76	51	621
77	52	621
78	53	622
79	54	622
80	54	622
81	55	622
82	55	618
83	56	617
84	57	617
85	58	616
86	58	618
87	59	616
88	60	615
89	60	613
90	61	612
91	61	610
92	62	609
93	63	610
94	63	609
95	64	607
96	65	606
97	65	604
98	66	606
99	67	610
100	68	610
101	69	609
102	69	607
103	70	606
104	70	604
105	71	603
106	72	601
107	72	600
108	73	598
109	73	597
110	74	596
111	75	594
112	75	593
113	76	592
114	76	590
115	77	589
116	77	587
117	78	586
118	79	584
119	79	583
120	80	582
121	80	580
122	81	580
123	82	579
124	98	686
125	98	685
126	99	683
127	100	682
128	100	680
129	101	678
130	102	676
131	102	675
132	103	673
133	104	673
134	104	671
135	105	669
136	106	667
137	106	665
138	107	663
139	107	661
140	108	659
141	108	656
142	109	654
143	109	652
144	110	650
145	110	649
146	111	647
147	112	645
148	112	644
149	113	645
150	114	644
151	115	642
152	115	640
153	116	639
154	116	637
155	117	635
156	118	634
157	118	632
158	119	630
159	119	628
160	120	628
161	121	626
162	121	624
163	122	623
164	122	621
165	123	619
166	123	618
167	124	616
168	125	615
169	125	613
170	126	612
171	126	610
172	127	609
173	128	609
174	128	608
175	129	606
176	130	605
177	130	603
178	131	602
179	131	600
180	132	599
181	133	598
182	133	596
183	134	595
184	134	593
185	135	592
186	135	590
187	136	589
188	137	591
189	138	589
190	138	588
191	139	587
192	140	585
193	140	584
194	141	583
195	141	581
196	142	580
197	143	579
198	143	579
199	144	578
200	145	577
201	145	575
202	146	574
203	146	573
204	147	571
205	147	570
206	148	569
207	149	567
208	149	566
209	150	565
210	151	565
211	151	563
212	152	562
213	152	561
214	153	560
215	154	559
216	154	557
217	155	556
218	155	555
219	156	553
220	157	554
221	157	553
222	158	553
223	159	552
224	160	551
225	160	550
226	161	550
227	162	550
228	163	549
229	163	548
230	164	546
231	164	545
232	165	544
233	166	545
234	167	544
235	167	543
236	168	542
237	169	541
238	169	539
239	170	538
240	170	537
241	171	536
242	171	535
243	172	534
244	173	533
245	174	533
246	174	532
247	175	532
248	176	531
249	177	531
250	177	530
251	178	529
252	179	528
253	179	527
254	180	526
255	180	525
256	181	525
257	182	524
258	182	522
259	183	521
260	183	520
261	184	519
262	185	518
263	185	517
264	186	516
265	186	515
266	187	514
267	188	513
268	188	513
269	189	512
270	189	511
271	190	509
272	191	508
273	191	507
274	192	506
275	192	505
276	193	504
277	193	503
278	194	502
279	195	501
280	195	500
281	196	499
282	196	498
283	197	497
284	197	496
285	198	495
286	199	494
287	199	493
288	200	492
289	200	491
290	201	490
291	202	490
292	202	489
293	203	489
294	204	488
295	205	487
296	205	486
297	206	485
298	206	484
299	207	483
300	207	482
301	208	482
302	209	481
303	209	480
304	210	479
305	210	478
306	211	477
307	212	476
308	212	476
309	213	475
310	214	474
311	214	473
312	215	473
313	216	472
314	217	471
315	217	471
316	218	470
317	219	469
318	219	468
319	220	467
320	220	466
321	221	465
322	221	465
323	222	464
324	223	463
325	223	462
326	224	461
327	224	460
328	225	459
329	225	458
330	226	457
331	226	456
332	227	455
333	228	456
334	229	455
335	229	454
336	230	453
337	231	452
338	231	452
339	232	451
340	233	450
341	233	450
342	234	449
343	235	448
344	235	447
345	236	446
346	236	445
347	237	444
348	237	443
349	238	442
350	239	442
351	239	441
352	240	440
353	240	439
354	241	438
355	242	438
356	243	437
357	243	436
358	244	436
359	244	435
360	245	434
361	246	433
362	247	434
363	248	434
364	249	433
365	249	432
366	250	431
367	250	431
368	251	430
369	252	429
370	252	428
371	253	427
372	253	426
373	254	425
374	254	424
375	255	424
376	256	423
377	256	422
378	257	421
379	257	420
380	258	419
381	258	418
382	259	418
383	260	417
384	260	416
385	261	415
386	262	415
387	262	414
388	263	413
389	263	412
390	264	412
391	265	411
392	265	410
393	266	409
394	266	408
395	267	407
396	267	406
397	268	406
398	269	405
399	269	404
400	270	403
401	270	402
402	271	402
403	271	401
404	272	400
405	273	400
406	274	399
407	274	398
408	275	397
409	275	397
410	276	396
411	277	395
412	278	395
413	278	394
414	279	393
415	280	393
416	280	392
417	281	391
418	282	391
419	282	390
420	283	389
421	283	388
422	284	388
423	285	387
424	285	386
425	286	385
426	286	384
427	287	383
428	287	383
429	288	382
430	289	381
431	289	380
432	290	379
433	290	379
434	291	378
435	292	378
436	293	377
